ID,Date,Supermarket,Kind,Goods,ProductType,Brand,Weight,Price,UnitPrice
1,2023-01-01,Tesco,Vegetables,Tomatoes,"Sunstream Tomatoes","Tesco Finest",250G,2.59,8.63
2,2023-01-01,Tesco,Vegetables,Tomatoes,"Cherry Tomatoes On The Vine",Tesco,300G,2.29,7.63
3,2023-01-01,Tesco,Vegetables,Tomatoes,"Coctail Tomatoes On The Vine",Tesco,500G,2.59,5.18
4,2023-01-01,Tesco,Vegetables,Tomatoes,"Cherry Plum Tomatoes","Green Growers",250G,1.59,6.36
5,2023-01-01,Tesco,Vegetables,Tomatoes,"Vine Tomatoes","Tesco Finest",400G,2.59,6.48
6,2023-01-01,Tesco,Vegetables,Tomatoes,"Cherry Tomatoes",Tesco,250G,0.79,3.16
7,2023-01-01,Tesco,Vegetables,Tomatoes,"Baby Plum Tomatoes",Tesco,325G,1.79,5.50
8,2023-01-01,Tesco,Dairy,Cheese,"Greek Feta Cheese",Tesco,200G,1.19,5.95
9,2023-01-01,Tesco,Dairy,Cheese,"Barrel Aged Feta Chesee","Tesco Finest",310G,3.09,9.96
10,2023-01-01,Tesco,Dairy,Cheese,"Organic Greek Feta Chesee",Tesco,200G,3.19,12.76
11,2023-01-01,Tesco,Dairy,Cheese,"Greek Feta",Tranos,200G,0.79,3.95
12,2023-01-01,Tesco,Dairy,Cheese,"Authentic Freek Feta Chesee",Yamas,250G,2.19,8.76
13,2023-01-01,Tesco,Cleaning,"Toilet Paper","Soft ","Tesco Luxury",4Roll,2.20,0.28
14,2023-01-01,Tesco,Cleaning,"Toilet Paper","Quilts Toilet Tissue","Andrex Supreme",16Roll,12.89,0.56
15,2023-01-01,Tesco,Cleaning,"Toilet Paper","SoftQuilted Tissue","Tesco Luxury",6Roll,4.30,0.31
16,2023-01-01,Tesco,Cleaning,"Toilet Paper","Soft Touch Toilet Tissue",Nicky,16Roll,6.20,0.20
17,2023-01-01,Tesco,Cleaning,"Toilet Paper","Soft Tissue","Tesco Luxury",9Roll,4.00,0.20
18,2023-01-01,Tesco,Pet,Litter,"Lightweight Cat Litter",Tesco,10L,2.00,0.20
19,2023-01-01,Tesco,Drinks,Alcohol,"Irish Whiskey","Jameson Irish Whiskey",70cl,23.00,23.00
20,2023-01-01,Tesco,Drinks,Alcohol,"Tennessee Whiskey","Jack Daniels Tennessee Whiskey",70cl,25.00,25.00
21,2023-01-01,Tesco,Drinks,Alcohol,"Scotch Whiskey","Teachers Scotch Whiskey",70cl,20.00,20.00
22,2023-01-01,Tesco,Drinks,Alcohol,Jim,"Jim Beam",70cl,27.99,27.99
23,2023-01-01,Tesco,Drinks,Alcohol,North,"The Famous Grouse Scotch Whiskey",70cl,14.10,14.10
24,2023-01-01,Lidl,Vegetables,Tomatoes,"Plum Tomatoes",Lidl,500G,1.79,3.58
25,2023-01-01,Lidl,Vegetables,Tomatoes,"Cherry Vine  Tomatoes",Lidl,500G,2.59,5.18
26,2023-01-01,Lidl,Vegetables,Tomatoes,"Cherry Tomatoes",Lidl,250G,0.79,3.16
27,2023-01-01,Lidl,Vegetables,Tomatoes,"Irish Strebena Tomatoes",Lidl,250G,2.59,10.36
28,2023-01-01,Lidl,Vegetables,Tomatoes,"Marvellous Tomatoes",Lidl,300G,2.29,7.63
29,2023-01-01,Lidl,Dairy,Cheese,"Greek Feta Cheese",Milbona,200G,0.79,3.96
30,2023-01-01,Lidl,Dairy,Cheese,"Greek Style Salad  Chesee",Simply,200G,0.79,3.96
31,2023-01-01,Lidl,Cleaning,"Toilet Paper","Gentle Toilet Paper",Floralys,24Roll,8.19,0.22
32,2023-01-01,Lidl,Cleaning,"Toilet Paper","Quilted Toilet Tissue",Floralys,9Roll,4.19,0.30
33,2023-01-01,Lidl,Cleaning,"Toilet Paper","Quilted Tissue",Floralys,4Roll,2.25,0.41
34,2023-01-01,Lidl,Cleaning,"Toilet Paper","Soft Toilet Tissue",Floralys,9Roll,2.19,0.12
35,2023-01-01,Lidl,Cleaning,"Toilet Paper","Toilet Rolls",Cushelle,24Roll,16.20,0.38
36,2023-01-01,Lidl,Pet,Litter,"Hygiene Cat Litter",Tesco,7.5L,3.00,0.40
37,2023-01-01,Lidl,Drinks,Alcohol,"Irish Whiskey","Jameson Irish Whiskey",70cl,20.00,20.00
38,2023-01-01,Lidl,Drinks,Alcohol,Irish,"Dundalgan Irish Whiskey",70cl,14.09,14.09
39,2023-01-01,Lidl,Drinks,Alcohol,"Scotch Whiskey","Balmuir Scotch Whiskey",70cl,15.99,15.99
40,2023-01-01,Lidl,Drinks,Alcohol,Bourbon,"Western Gold Bourbon Whiskey",70cl,14.29,14.29
41,2023-01-01,Dunnes,Vegetables,Tomatoes,"Piccolo Tomatoes",Dunnes,250G,2.59,10.36
